# == pyFAI calibration ==
# Distance Sample to Detector: 1.1940462449808116 m
# PONI: 2.115e-01, 2.068e-01 m
# Rotations: -0.003366 0.000439 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1194.053 mm
# Center: x=712.136, y=716.184 pix
# Tilt: 0.195 deg  TiltPlanRot: 7.430 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: False
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /Users/mbcx9cd4/Documents/GitHub/pyFAI-integration-caking/analysis/integrated.dat
#       2th_deg             I 
  3.965260e-03    0.000000e+00
  5.392600e-03    0.000000e+00
  6.819940e-03    0.000000e+00
  8.247280e-03    0.000000e+00
  9.674620e-03    0.000000e+00
  1.110196e-02    1.450891e-04
  1.252930e-02    6.233934e-02
  1.395664e-02    1.579685e-01
  1.538398e-02    2.345687e-01
  1.681132e-02    2.999983e-01
  1.823866e-02    3.575941e-01
  1.966600e-02    4.003064e-01
  2.109334e-02    3.731612e-01
  2.252068e-02    3.377646e-01
  2.394802e-02    3.077212e-01
  2.537536e-02    2.809114e-01
  2.680270e-02    2.135229e-01
  2.823004e-02    1.474100e-01
  2.965738e-02    1.210258e-01
  3.108472e-02    1.616217e-01
  3.251206e-02    2.493808e-01
  3.393940e-02    3.347068e-01
  3.536674e-02    4.207125e-01
  3.679408e-02    4.912819e-01
  3.822142e-02    5.268767e-01
  3.964876e-02    5.534389e-01
  4.107610e-02    6.385229e-01
  4.250344e-02    8.258429e-01
  4.393079e-02    8.413177e-01
  4.535813e-02    8.204586e-01
  4.678547e-02    7.893560e-01
  4.821281e-02    7.667217e-01
  4.964015e-02    7.479131e-01
  5.106749e-02    7.245646e-01
  5.249483e-02    6.730404e-01
  5.392217e-02    5.957583e-01
  5.534951e-02    4.608456e-01
  5.677685e-02    3.057880e-01
  5.820419e-02    2.684737e-01
  5.963153e-02    2.374129e-01
  6.105887e-02    2.034680e-01
  6.248621e-02    2.094243e-01
  6.391355e-02    2.279941e-01
  6.534089e-02    2.544500e-01
  6.676823e-02    2.832972e-01
  6.819557e-02    2.946458e-01
  6.962291e-02    3.556181e-01
  7.105025e-02    3.751164e-01
  7.247759e-02    3.598358e-01
  7.390493e-02    4.057050e-01
  7.533227e-02    5.674735e-01
  7.675961e-02    6.034963e-01
  7.818695e-02    6.200961e-01
  7.961429e-02    6.366897e-01
  8.104163e-02    6.839051e-01
  8.246897e-02    7.213241e-01
  8.389631e-02    7.123738e-01
  8.532365e-02    7.374811e-01
  8.675099e-02    7.354245e-01
  8.817833e-02    6.889834e-01
  8.960567e-02    6.300259e-01
  9.103301e-02    6.237780e-01
  9.246035e-02    5.913920e-01
  9.388769e-02    5.454673e-01
  9.531503e-02    5.138205e-01
  9.674237e-02    4.831587e-01
  9.816971e-02    5.193448e-01
  9.959705e-02    5.300527e-01
  1.010244e-01    4.829147e-01
  1.024517e-01    4.498292e-01
  1.038791e-01    4.265269e-01
  1.053064e-01    4.060003e-01
  1.067338e-01    4.069225e-01
  1.081611e-01    4.078445e-01
  1.095884e-01    4.075082e-01
  1.110158e-01    4.054258e-01
  1.124431e-01    3.799630e-01
  1.138705e-01    3.765779e-01
  1.152978e-01    3.975436e-01
  1.167251e-01    4.722859e-01
  1.181525e-01    4.943557e-01
  1.195798e-01    4.836169e-01
  1.210072e-01    5.161232e-01
  1.224345e-01    5.800211e-01
  1.238618e-01    6.778944e-01
  1.252892e-01    7.709041e-01
  1.267165e-01    8.768594e-01
  1.281439e-01    9.618114e-01
  1.295712e-01    1.051940e+00
  1.309985e-01    1.102990e+00
  1.324259e-01    1.147618e+00
  1.338532e-01    1.163888e+00
  1.352806e-01    1.117290e+00
  1.367079e-01    1.040393e+00
  1.381352e-01    9.382289e-01
  1.395626e-01    8.320933e-01
  1.409899e-01    6.977998e-01
  1.424173e-01    6.497913e-01
  1.438446e-01    6.063085e-01
  1.452719e-01    5.230014e-01
  1.466993e-01    5.377005e-01
  1.481266e-01    5.813469e-01
  1.495540e-01    5.708150e-01
  1.509813e-01    5.467795e-01
  1.524086e-01    5.159277e-01
  1.538360e-01    4.952722e-01
  1.552633e-01    5.288152e-01
  1.566907e-01    5.238582e-01
  1.581180e-01    5.059836e-01
  1.595453e-01    5.097315e-01
  1.609727e-01    5.117337e-01
  1.624000e-01    4.688907e-01
  1.638274e-01    4.815071e-01
  1.652547e-01    5.021356e-01
  1.666820e-01    5.121055e-01
  1.681094e-01    5.260140e-01
  1.695367e-01    5.107289e-01
  1.709641e-01    5.335063e-01
  1.723914e-01    5.616053e-01
  1.738187e-01    5.832226e-01
  1.752461e-01    5.495778e-01
  1.766734e-01    5.762907e-01
  1.781008e-01    6.145245e-01
  1.795281e-01    6.340817e-01
  1.809554e-01    6.417018e-01
  1.823828e-01    6.477981e-01
  1.838101e-01    7.145535e-01
  1.852375e-01    7.022074e-01
  1.866648e-01    6.782380e-01
  1.880921e-01    7.170681e-01
  1.895195e-01    7.757471e-01
  1.909468e-01    7.735093e-01
  1.923742e-01    7.354509e-01
  1.938015e-01    6.844082e-01
  1.952288e-01    6.442361e-01
  1.966562e-01    6.181061e-01
  1.980835e-01    5.628566e-01
  1.995109e-01    5.693896e-01
  2.009382e-01    5.681471e-01
  2.023655e-01    5.724466e-01
  2.037929e-01    6.006244e-01
  2.052202e-01    6.949040e-01
  2.066476e-01    8.028101e-01
  2.080749e-01    8.699341e-01
  2.095022e-01    8.985286e-01
  2.109296e-01    9.136907e-01
  2.123569e-01    9.072701e-01
  2.137843e-01    9.059862e-01
  2.152116e-01    8.755239e-01
  2.166389e-01    8.287606e-01
  2.180663e-01    7.206249e-01
  2.194936e-01    6.271124e-01
  2.209210e-01    6.027302e-01
  2.223483e-01    6.262877e-01
  2.237756e-01    6.395195e-01
  2.252030e-01    6.444836e-01
  2.266303e-01    6.559421e-01
  2.280577e-01    6.756455e-01
  2.294850e-01    7.037356e-01
  2.309124e-01    6.867085e-01
  2.323397e-01    6.940151e-01
  2.337670e-01    6.885340e-01
  2.351944e-01    6.793957e-01
  2.366217e-01    6.773424e-01
  2.380491e-01    6.699648e-01
  2.394764e-01    6.897764e-01
  2.409037e-01    7.559441e-01
  2.423311e-01    7.699410e-01
  2.437584e-01    7.661915e-01
  2.451858e-01    7.527359e-01
  2.466131e-01    7.379600e-01
  2.480404e-01    7.304100e-01
  2.494678e-01    6.923115e-01
  2.508951e-01    6.819001e-01
  2.523225e-01    6.899728e-01
  2.537498e-01    7.056113e-01
  2.551771e-01    6.906869e-01
  2.566045e-01    6.607388e-01
  2.580318e-01    6.636039e-01
  2.594592e-01    6.898223e-01
  2.608865e-01    6.959748e-01
  2.623138e-01    6.850750e-01
  2.637412e-01    6.602880e-01
  2.651685e-01    6.248494e-01
  2.665959e-01    5.981477e-01
  2.680232e-01    6.199814e-01
  2.694505e-01    6.348612e-01
  2.708779e-01    6.743076e-01
  2.723052e-01    7.057919e-01
  2.737326e-01    7.424002e-01
  2.751599e-01    7.599341e-01
  2.765872e-01    7.744641e-01
  2.780146e-01    7.760699e-01
  2.794419e-01    7.557991e-01
  2.808693e-01    7.235738e-01
  2.822966e-01    6.337782e-01
  2.837239e-01    6.154550e-01
  2.851513e-01    6.507465e-01
  2.865786e-01    6.791838e-01
  2.880060e-01    6.566858e-01
  2.894333e-01    6.758577e-01
  2.908606e-01    7.244968e-01
  2.922880e-01    7.532790e-01
  2.937153e-01    7.635246e-01
  2.951427e-01    7.793363e-01
  2.965700e-01    7.800723e-01
  2.979973e-01    7.481529e-01
  2.994247e-01    6.938812e-01
  3.008520e-01    6.481021e-01
  3.022794e-01    6.362410e-01
  3.037067e-01    6.435802e-01
  3.051340e-01    6.563082e-01
  3.065614e-01    6.796162e-01
  3.079887e-01    6.869671e-01
  3.094161e-01    6.951248e-01
  3.108434e-01    7.439701e-01
  3.122707e-01    8.236884e-01
  3.136981e-01    9.309697e-01
  3.151254e-01    1.013578e+00
  3.165528e-01    1.104540e+00
  3.179801e-01    1.148656e+00
  3.194074e-01    1.148883e+00
  3.208348e-01    1.164542e+00
  3.222621e-01    1.173743e+00
  3.236895e-01    1.131514e+00
  3.251168e-01    1.083157e+00
  3.265441e-01    1.023643e+00
  3.279715e-01    9.694810e-01
  3.293988e-01    9.330766e-01
  3.308262e-01    9.017409e-01
  3.322535e-01    8.838482e-01
  3.336808e-01    9.011633e-01
  3.351082e-01    9.151323e-01
  3.365355e-01    9.265784e-01
  3.379629e-01    9.535877e-01
  3.393902e-01    9.673992e-01
  3.408175e-01    9.719688e-01
  3.422449e-01    9.783454e-01
  3.436722e-01    9.634875e-01
  3.450996e-01    9.734889e-01
  3.465269e-01    1.024148e+00
  3.479542e-01    1.073791e+00
  3.493816e-01    1.108924e+00
  3.508089e-01    1.133434e+00
  3.522363e-01    1.164312e+00
  3.536636e-01    1.179019e+00
  3.550909e-01    1.214965e+00
  3.565183e-01    1.201209e+00
  3.579456e-01    1.207183e+00
  3.593730e-01    1.218007e+00
  3.608003e-01    1.245984e+00
  3.622276e-01    1.253167e+00
  3.636550e-01    1.260695e+00
  3.650823e-01    1.245688e+00
  3.665097e-01    1.225059e+00
  3.679370e-01    1.192967e+00
  3.693643e-01    1.154093e+00
  3.707917e-01    1.185048e+00
  3.722190e-01    1.204196e+00
  3.736464e-01    1.193233e+00
  3.750737e-01    1.200256e+00
  3.765010e-01    1.183495e+00
  3.779284e-01    1.126868e+00
  3.793557e-01    1.095700e+00
  3.807831e-01    1.074677e+00
  3.822104e-01    1.052183e+00
  3.836378e-01    1.037216e+00
  3.850651e-01    9.846371e-01
  3.864924e-01    9.511332e-01
  3.879198e-01    9.243100e-01
  3.893471e-01    8.918693e-01
  3.907745e-01    8.905402e-01
  3.922018e-01    9.342664e-01
  3.936291e-01    9.754393e-01
  3.950565e-01    1.000238e+00
  3.964838e-01    1.089323e+00
  3.979112e-01    1.108322e+00
  3.993385e-01    1.148425e+00
  4.007658e-01    1.224732e+00
  4.021932e-01    1.347003e+00
  4.036205e-01    1.365249e+00
  4.050479e-01    1.371762e+00
  4.064752e-01    1.388969e+00
  4.079025e-01    1.415316e+00
  4.093299e-01    1.438358e+00
  4.107572e-01    1.443306e+00
  4.121846e-01    1.484147e+00
  4.136119e-01    1.484990e+00
  4.150392e-01    1.416653e+00
  4.164666e-01    1.351464e+00
  4.178939e-01    1.340060e+00
  4.193213e-01    1.332303e+00
  4.207486e-01    1.334696e+00
  4.221759e-01    1.330687e+00
  4.236033e-01    1.338146e+00
  4.250306e-01    1.336758e+00
  4.264580e-01    1.331446e+00
  4.278853e-01    1.344986e+00
  4.293126e-01    1.385416e+00
  4.307400e-01    1.378116e+00
  4.321673e-01    1.414278e+00
  4.335947e-01    1.445043e+00
  4.350220e-01    1.485885e+00
  4.364493e-01    1.549553e+00
  4.378767e-01    1.605700e+00
  4.393040e-01    1.614227e+00
  4.407314e-01    1.605436e+00
  4.421587e-01    1.604325e+00
  4.435860e-01    1.668577e+00
  4.450134e-01    1.750152e+00
  4.464407e-01    1.807915e+00
  4.478681e-01    1.801898e+00
  4.492954e-01    1.766023e+00
  4.507227e-01    1.768805e+00
  4.521501e-01    1.796684e+00
  4.535774e-01    1.858689e+00
  4.550048e-01    1.955406e+00
  4.564321e-01    2.014690e+00
  4.578594e-01    1.993926e+00
  4.592868e-01    1.947983e+00
  4.607141e-01    1.876578e+00
  4.621415e-01    1.848181e+00
  4.635688e-01    1.796367e+00
  4.649961e-01    1.731696e+00
  4.664235e-01    1.683269e+00
  4.678508e-01    1.630262e+00
  4.692782e-01    1.566754e+00
  4.707055e-01    1.532256e+00
  4.721328e-01    1.525563e+00
  4.735602e-01    1.530328e+00
  4.749875e-01    1.544607e+00
  4.764149e-01    1.567772e+00
  4.778422e-01    1.604252e+00
  4.792695e-01    1.646837e+00
  4.806969e-01    1.674901e+00
  4.821242e-01    1.699687e+00
  4.835516e-01    1.697411e+00
  4.849789e-01    1.701336e+00
  4.864062e-01    1.714558e+00
  4.878336e-01    1.681541e+00
  4.892609e-01    1.656927e+00
  4.906883e-01    1.623584e+00
  4.921156e-01    1.568783e+00
  4.935429e-01    1.523278e+00
  4.949703e-01    1.532871e+00
  4.963976e-01    1.561821e+00
  4.978250e-01    1.606686e+00
  4.992523e-01    1.636290e+00
  5.006796e-01    1.655492e+00
  5.021070e-01    1.681660e+00
  5.035343e-01    1.713270e+00
  5.049617e-01    1.730363e+00
  5.063890e-01    1.734166e+00
  5.078163e-01    1.728782e+00
  5.092437e-01    1.691978e+00
  5.106710e-01    1.648256e+00
  5.120984e-01    1.629156e+00
  5.135257e-01    1.620753e+00
  5.149530e-01    1.642204e+00
  5.163804e-01    1.690184e+00
  5.178077e-01    1.725176e+00
  5.192351e-01    1.767822e+00
  5.206624e-01    1.800647e+00
  5.220897e-01    1.811705e+00
  5.235171e-01    1.814271e+00
  5.249444e-01    1.854237e+00
  5.263718e-01    1.879719e+00
  5.277991e-01    1.900311e+00
  5.292264e-01    1.860565e+00
  5.306538e-01    1.830266e+00
  5.320811e-01    1.834299e+00
  5.335085e-01    1.861330e+00
  5.349358e-01    1.890846e+00
  5.363632e-01    1.925144e+00
  5.377905e-01    1.943776e+00
  5.392178e-01    1.943539e+00
  5.406452e-01    1.893877e+00
  5.420725e-01    1.822445e+00
  5.434999e-01    1.819200e+00
  5.449272e-01    1.803976e+00
  5.463545e-01    1.784078e+00
  5.477819e-01    1.752992e+00
  5.492092e-01    1.726467e+00
  5.506366e-01    1.730969e+00
  5.520639e-01    1.735246e+00
  5.534912e-01    1.803121e+00
  5.549186e-01    1.840706e+00
  5.563459e-01    1.882416e+00
  5.577733e-01    1.871606e+00
  5.592006e-01    1.873984e+00
  5.606279e-01    1.935781e+00
  5.620553e-01    2.018786e+00
  5.634826e-01    2.040831e+00
  5.649100e-01    1.999297e+00
  5.663373e-01    1.946212e+00
  5.677646e-01    1.835835e+00
  5.691920e-01    1.794365e+00
  5.706193e-01    1.749979e+00
  5.720467e-01    1.685074e+00
  5.734740e-01    1.604601e+00
  5.749013e-01    1.541709e+00
  5.763287e-01    1.515020e+00
  5.777560e-01    1.537656e+00
  5.791834e-01    1.587080e+00
  5.806107e-01    1.671789e+00
  5.820380e-01    1.804228e+00
  5.834654e-01    1.911114e+00
  5.848927e-01    1.988893e+00
  5.863201e-01    2.045432e+00
  5.877474e-01    2.060723e+00
  5.891747e-01    2.058892e+00
  5.906021e-01    2.054655e+00
  5.920294e-01    2.022897e+00
  5.934568e-01    1.977231e+00
  5.948841e-01    1.961686e+00
  5.963114e-01    1.914212e+00
  5.977388e-01    1.873868e+00
  5.991661e-01    1.849490e+00
  6.005935e-01    1.884381e+00
  6.020208e-01    1.917863e+00
  6.034481e-01    1.938095e+00
  6.048755e-01    1.963370e+00
  6.063028e-01    1.991581e+00
  6.077302e-01    2.030655e+00
  6.091575e-01    2.038852e+00
  6.105848e-01    2.053073e+00
  6.120122e-01    2.082281e+00
  6.134395e-01    2.110149e+00
  6.148669e-01    2.139660e+00
  6.162942e-01    2.150459e+00
  6.177215e-01    2.129079e+00
  6.191489e-01    2.120173e+00
  6.205762e-01    2.128116e+00
  6.220036e-01    2.150187e+00
