# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  6.913297e-03    0.000000e+00
  9.771817e-03    0.000000e+00
  1.263034e-02    0.000000e+00
  1.548885e-02    9.773456e-03
  1.834737e-02    1.373808e-01
  2.120589e-02    5.255410e-01
  2.406441e-02    8.919267e-01
  2.692293e-02    1.112404e+00
  2.978145e-02    1.352710e+00
  3.263997e-02    1.458201e+00
  3.549849e-02    1.271707e+00
  3.835701e-02    1.050854e+00
  4.121553e-02    1.037149e+00
  4.407405e-02    8.801274e-01
  4.693257e-02    7.138419e-01
  4.979108e-02    6.879787e-01
  5.264960e-02    6.516110e-01
  5.550812e-02    4.720174e-01
  5.836664e-02    3.774958e-01
  6.122516e-02    3.229302e-01
  6.408368e-02    2.870301e-01
  6.694220e-02    4.278743e-01
  6.980072e-02    7.135313e-01
  7.265924e-02    8.979759e-01
  7.551776e-02    9.043756e-01
  7.837628e-02    8.922416e-01
  8.123480e-02    7.706175e-01
  8.409331e-02    6.686792e-01
  8.695183e-02    7.520919e-01
  8.981035e-02    8.457353e-01
  9.266887e-02    7.876800e-01
  9.552739e-02    6.811497e-01
  9.838591e-02    5.849048e-01
  1.012444e-01    4.275612e-01
  1.041029e-01    3.814636e-01
  1.069615e-01    4.638596e-01
  1.098200e-01    6.196868e-01
  1.126785e-01    7.336049e-01
  1.155370e-01    8.870257e-01
  1.183955e-01    9.038194e-01
  1.212541e-01    9.671535e-01
  1.241126e-01    9.139192e-01
